Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"573,991,002","498,371,809","312,438,054","219,184,961","233,606,779","228,172,862","217,249,110","179,776,159","113,378,489","56,821,226","22,455,644"
Fixed Assets,"192,591,881","81,188,744","99,281,744","250,276,386","316,631,089","276,461,360","244,486,205","229,572,209","200,080,413","176,272,272","168,763,590"
Other Non Current Assets,"202,240,754","108,276,163","99,184,700","2,422,633","50,425,333",0,"2,497,209","1,963,488",0,0,"330,496"
Cash in Hand and Bank,"202,789,977","316,248,002","243,196,263","214,239,910","70,763,852","53,813,205","49,161,759","62,903,496","159,875,722","163,400,757","148,998,262"
Other Current Assets,"432,366,332","459,917,313","382,222,830","313,713,407","281,261,678","254,502,355","153,292,225","86,206,874","65,934,221","59,518,339","78,970,996"
Total Assets,"1,603,979,946","1,464,002,031","1,136,323,591","1,054,651,741","952,688,731","812,949,782","666,686,508","560,422,226","539,268,845","456,012,594","419,518,988"
Under Writing Provisions,"382,328,195","386,651,151","419,904,538","328,818,718","242,700,589","184,933,355","128,985,012","48,403,631","33,782,258","34,745,300","46,049,244"
Creditors and Accruals,"95,746,398","87,856,578","93,871,397","73,927,566","82,555,962","67,146,091","29,277,006","23,135,577","25,517,183","9,671,425","17,745,069"
Other Liabilites,"150,078,424","3,574,984","1,460,992","59,962","3,230,404","4,993,124","59,962","59,962","1,326,607","1,470,136","59,962"
Total Liabilities,"628,153,017","478,082,713","515,236,927","404,351,444","328,486,955","257,072,570","158,321,980","71,599,170","60,626,048","45,886,861","63,854,275"
Paid Up Capital,"603,373,910","603,373,910","450,000,000","450,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","250,000,000","200,000,000"
Reserves,"372,453,019","382,545,408","171,086,664","109,240,127","188,141,606","119,817,042","72,304,358","52,762,886","42,582,627","32,917,763","28,456,743"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"975,826,929","985,919,318","621,086,664","650,300,297","624,201,776","555,877,212","508,364,528","488,823,056","478,642,797","410,125,733","355,664,713"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"60,337,391","60,337,391","45,000,000","45,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","25,000,000","20,000,000"
Surplus On Revaluation of Assets,0,0,0,"91,060,170","136,060,170","136,060,170","136,060,170","136,060,170","136,060,170","127,207,970","127,207,970"
