Year,2019,2018,2017,2016,2015,2014,2013,2012
Operating Cash Flow,"-193,514,000","-118,998,000","-71,636,322","-109,937,992","-29,729,574","-9,806,792","27,362,209","-54,726,428"
Captial Expenditure,"43,282,000","3,433,000","43,200","73,537","-1,211,162","244,000","-1,554,000","203,569"
Cashflow from Investing,"231,977,000","-262,346,000","-28,098,642","79,332,760","11,547,637","28,303,992","-44,436,471","11,924,844"
Cash Flow from Financing,"500,000","400,000,000","100,000,000","7,428,641",0,0,"69,835,500","23,999,675"
Net Change,"38,963,000","18,656,000","265,036","-23,176,591","-18,181,937","18,497,200","52,761,238","-18,801,909"
Opening Cash,"73,881,000","55,225,000","165,960,124","189,136,715","207,318,652","188,821,452","136,060,214","154,862,123"
Closing Cash,"112,844,000","73,881,000","166,225,160","165,960,124","189,136,715","207,318,652","188,821,452","136,060,214"
FCFF,"-236,796,000","-122,431,000","-71,679,522","-110,011,529","-28,518,412","-10,050,792","28,916,209","-54,929,997"
FCFE,"-236,296,000","277,569,000","28,320,478","-102,582,888","-28,518,412","-10,050,792","98,751,709","-30,930,322"
