Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,0,"13,458,882,000","10,846,978,000","8,262,151,000","6,749,864,000","5,775,615,000","5,210,869,000","4,545,236,000","4,705,280,000","4,520,230,000","3,944,410,000"
Investments,0,"186,153,000",0,"618,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
Cash in Hand and Bank,"2,247,990,000","3,267,698,000","203,364,000","92,931,000","990,908,000","287,909,000","233,902,000","43,791,000","105,542,000","49,121,000","26,380,000"
Stores and Spares,"886,495,000","908,514,000","632,710,000","498,033,000","567,422,000","445,146,000","599,509,000","373,799,000","334,355,000","397,417,000","359,847,000"
Stock in Trade,"8,269,628,000","6,411,087,000","3,892,270,000","3,637,710,000","3,046,969,000","2,382,563,000","3,133,460,000","3,464,152,000","2,769,521,000","3,143,084,000","2,045,404,000"
Trade Debts,"6,809,503,000","7,629,994,000","5,191,492,000","4,354,193,000","2,782,631,000","2,823,046,000","2,630,993,000","2,222,197,000","1,776,672,000","2,410,373,000","1,078,197,000"
Current Assets,"25,455,725,000","20,304,069,000","12,494,800,000","10,465,651,000","8,752,710,000","6,918,264,000","7,414,038,000","6,908,994,000","5,459,258,000","6,376,559,000","3,742,759,000"
Quick Assets,"16,299,602,000","12,984,468,000","7,969,820,000","6,329,908,000","5,138,319,000","4,090,555,000","3,681,069,000","3,071,043,000","2,355,382,000","2,836,058,000","1,337,508,000"
Total Assets,"43,096,657,000","33,967,336,000","23,351,981,000","18,738,488,000","15,508,971,000","12,704,750,000","12,640,548,000","11,474,966,000","10,190,500,000","10,924,295,000","7,713,211,000"
Interest Bearing Long Term Liability,"5,184,240,000","1,991,546,000","750,334,000","437,142,000","434,150,000","383,248,000","472,093,000","606,252,000","795,827,000","964,886,000","568,053,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"9,986,524,000","6,765,388,000","2,712,508,000","610,008,000","5,850,000","96,014,000","1,313,872,000","2,258,824,000","1,869,090,000","4,088,713,000","1,785,598,000"
* Non Interest Bearing Short Term Liability,"6,571,573,000","4,961,586,000","3,720,561,000","3,183,509,000","2,296,123,000","2,212,193,000","2,713,888,000","1,864,518,000","1,723,697,000","1,115,257,000","715,488,000"
Trades Payables,"6,481,124,000","4,910,688,000","3,701,919,000","3,178,367,000","2,294,441,000","2,197,618,000","2,682,767,000","1,802,672,000","1,659,934,000","1,007,044,000","681,158,000"
Total Current Liabilities,"16,560,004,000","11,728,847,000","6,434,443,000","3,793,517,000","2,306,932,000","2,308,207,000","4,027,760,000","4,123,342,000","3,592,786,000","5,204,743,000","2,504,644,000"
Total Liabilities,"21,949,599,000","13,863,887,000","7,184,777,000","4,230,659,000","2,741,082,000","2,691,455,000","4,499,853,000","4,729,594,000","4,388,613,000","6,169,629,000","3,072,697,000"
Paid Up Capital,"3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","3,768,009,000","1,244,930,000"
Reserves,"15,892,787,000","16,335,440,000","10,900,187,000","9,240,812,000","7,919,218,000","5,164,624,000","3,292,024,000","1,896,701,000","953,215,000","418,597,000","2,827,523,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,486,262,000",0,"1,499,008,000","1,499,008,000","1,080,662,000","1,080,662,000","1,080,662,000","1,080,662,000","1,080,662,000","568,060,000","568,060,000"
Shareholder Equity,"21,147,058,000","20,103,449,000","16,167,204,000","14,507,829,000","12,767,889,000","10,013,295,000","8,140,695,000","6,745,372,000","5,801,886,000","4,754,666,000","4,640,513,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"376,800,900","376,800,900","376,800,900","376,800,968","376,800,968","376,800,968","376,800,968","376,800,968","376,800,968","376,800,968","117,587,632"
