Year,2020,2019
Operating Cash Flow,"3,675,597,000","3,330,390,000"
Captial Expenditure,"5,155,512,000","3,560,521,000"
Cashflow from Investing,"-6,729,968,000","-3,507,082,000"
Cash Flow from Financing,"4,034,663,000","3,241,026,000"
Net Change,"980,292,000","3,064,334,000"
Opening Cash,"3,267,698,000","203,364,000"
Closing Cash,"4,247,990,000","3,267,698,000"
FCFF,"-1,479,915,000","-230,131,000"
FCFE,"2,554,748,000","3,010,895,000"
