Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"11,788,254,000","13,909,913,000","16,772,383,000","10,740,631,000","5,825,579,000","3,293,329,000","2,466,127,000","2,812,958,000","1,968,409,000","1,631,208,000","2,086,520,000","1,313,808,000","1,857,058,000"
COGS,"11,095,490,000","12,308,321,000","13,661,379,000","8,537,668,000","4,278,941,000","2,603,405,000","2,165,431,000","2,328,334,000","1,731,989,000","1,457,028,000","1,789,728,000","1,184,506,000","1,714,057,000"
Gross Profit,"692,764,000","1,601,592,000","3,111,004,000","2,202,963,000","1,546,638,000","689,924,000","300,696,000","484,624,000","236,420,000","174,180,000","296,792,000","129,302,000","143,001,000"
Administrative Expenses,"272,309,000","267,664,000","346,542,000","150,595,000","110,568,000","69,707,000","66,116,000","73,046,000","49,559,000","54,214,000","41,677,000","35,311,000","42,239,000"
Selling & Distributive Expenses,"493,750,000","534,954,000","584,046,000","359,159,000","220,946,000","166,310,000","105,267,000","84,518,000","74,570,000","56,844,000","71,469,000","48,596,000","52,387,000"
Financial Charges,"970,785,000","751,019,000","222,394,000","224,637,000","113,073,000","167,115,000","177,052,000","175,895,000","156,288,000","59,201,000","57,779,000","83,506,000","26,525,000"
Other Income,"54,656,000","117,383,000","154,796,000","22,127,000","30,652,000","53,770,000","66,778,000","46,642,000","2,633,000","5,281,000","3,140,000","14,676,000","11,522,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"22,852,000","26,368,000","148,748,000","244,074,000","34,598,000","13,546,000","3,227,000","14,641,000","1,899,000","1,355,000","11,079,000","116,992,000","3,910,000"
EBITDA,"127,840,000","1,032,013,000","2,235,755,000","1,507,750,000","1,238,687,000","518,222,000","222,299,000","385,139,000","139,219,000","94,504,000","193,708,000","-41,602,000","74,969,000"
EBIT,"-41,491,000","889,989,000","2,186,464,000","1,471,262,000","1,211,178,000","494,131,000","192,864,000","359,061,000","113,025,000","67,048,000","175,707,000","-56,921,000","55,987,000"
EBT,"-1,012,276,000","138,970,000","1,964,070,000","1,246,625,000","1,098,105,000","327,016,000","15,812,000","183,166,000","-43,263,000","7,847,000","117,928,000","-140,427,000","29,462,000"
Tax,"270,607,000","79,022,000","601,650,000","450,612,000","352,244,000","103,226,000","-8,256,000","55,430,000","-12,178,000","102,000","-17,635,000","-2,942,000","11,330,000"
PAT,"-1,282,883,000","59,948,000","1,362,420,000","796,013,000","745,861,000","223,790,000","24,068,000","127,736,000","-31,085,000","7,745,000","135,563,000","-137,485,000","18,132,000"
EPS,-30.11,1.41,63.95,37.36,35.01,10.5,1.13,6,-1.46,0.36,6.36,-6.45,0.85
