FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
4,/Archives/edgar/data/733269/000186139421000036/0001861394-21-000036.txt,0001861394-21-000036.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000035/0001861394-21-000035.txt,0001861394-21-000035.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000034/0001861394-21-000034.txt,0001861394-21-000034.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000081/0001245105-21-000081.txt,0001245105-21-000081.txt,TRUE,TRUE
3,/Archives/edgar/data/733269/000186139421000033/0001861394-21-000033.txt,0001861394-21-000033.txt,TRUE,TRUE
3,/Archives/edgar/data/733269/000124510521000080/0001245105-21-000080.txt,0001245105-21-000080.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000032/0001861394-21-000032.txt,0001861394-21-000032.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000031/0001861394-21-000031.txt,0001861394-21-000031.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000079/0001245105-21-000079.txt,0001245105-21-000079.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000030/0001861394-21-000030.txt,0001861394-21-000030.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000029/0001861394-21-000029.txt,0001861394-21-000029.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000078/0001245105-21-000078.txt,0001245105-21-000078.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000028/0001861394-21-000028.txt,0001861394-21-000028.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000077/0001245105-21-000077.txt,0001245105-21-000077.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000027/0001861394-21-000027.txt,0001861394-21-000027.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000076/0001245105-21-000076.txt,0001245105-21-000076.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000026/0001861394-21-000026.txt,0001861394-21-000026.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000025/0001861394-21-000025.txt,0001861394-21-000025.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000075/0001245105-21-000075.txt,0001245105-21-000075.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000024/0001861394-21-000024.txt,0001861394-21-000024.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000023/0001861394-21-000023.txt,0001861394-21-000023.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000074/0001245105-21-000074.txt,0001245105-21-000074.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000022/0001861394-21-000022.txt,0001861394-21-000022.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000073/0001245105-21-000073.txt,0001245105-21-000073.txt,TRUE,TRUE
8-K,/Archives/edgar/data/733269/000119312521244800/0001193125-21-244800.txt,0001193125-21-244800.txt,FALSE,FALSE
4,/Archives/edgar/data/733269/000186139421000021/0001861394-21-000021.txt,0001861394-21-000021.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000124510521000072/0001245105-21-000072.txt,0001245105-21-000072.txt,TRUE,TRUE
424B7,/Archives/edgar/data/733269/000119312521239814/0001193125-21-239814.txt,0001193125-21-239814.txt,FALSE,FALSE
8-K,/Archives/edgar/data/733269/000119312521239813/0001193125-21-239813.txt,0001193125-21-239813.txt,FALSE,FALSE
S-3ASR,/Archives/edgar/data/733269/000119312521239246/0001193125-21-239246.txt,0001193125-21-239246.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/733269/000073326921000027/0000733269-21-000027.txt,0000733269-21-000027.txt,FALSE,FALSE
8-K,/Archives/edgar/data/733269/000073326921000026/0000733269-21-000026.txt,0000733269-21-000026.txt,FALSE,FALSE
3,/Archives/edgar/data/733269/000186139421000020/0001861394-21-000020.txt,0001861394-21-000020.txt,TRUE,TRUE
4,/Archives/edgar/data/733269/000186139421000019/0001861394-21-000019.txt,0001861394-21-000019.txt,TRUE,TRUE
11-K,/Archives/edgar/data/733269/000119312521202194/0001193125-21-202194.txt,0001193125-21-202194.txt,FALSE,FALSE
