Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,068,382,000","828,804,000","714,732,000","649,897,000","612,208,000","466,751,000","404,433,000","373,481,000","373,295,000","368,671,000","252,695,000","235,452,000"
Investments,0,0,0,0,"25,000,000","1,952,770,000","44,800,000","1,307,529,000","1,158,449,000","1,371,464,000","145,000,000","446,760,000"
Cash in Hand and Bank,"189,093,000","293,910,000","1,340,511,000","1,316,770,000","2,330,238,000","3,924,709,000","2,308,497,000","3,782,632,000","2,477,110,000","3,112,794,000","3,522,479,000","3,348,997,000"
Stores and Spares,"30,734,000","30,660,000","37,219,000","18,731,000","34,340,000","35,962,000","15,649,000","21,119,000","19,025,000","9,749,000","11,691,000","14,673,000"
Stock in Trade,"2,756,159,000","3,476,928,000","2,283,945,000","1,408,886,000","2,115,034,000","2,160,349,000","1,693,249,000","1,543,151,000","2,731,395,000","1,073,122,000","1,253,682,000","1,931,399,000"
Trade Debts,"9,624,000","56,606,000","12,023,000","279,759,000","27,759,000","13,796,000","166,306,000","386,558,000","14,339,000","264,063,000","20,292,000","7,143,000"
Current Assets,"4,315,154,000","5,951,957,000","5,161,939,000","3,988,601,000","5,789,546,000","9,477,010,000","9,367,867,000","9,011,842,000","8,059,527,000","7,256,621,000","7,124,751,000","6,840,054,000"
Quick Assets,"1,528,261,000","2,444,369,000","2,840,775,000","2,560,984,000","3,640,172,000","7,280,699,000","7,658,969,000","7,447,572,000","5,309,107,000","6,173,750,000","5,859,378,000","4,893,982,000"
Total Assets,"5,475,383,000","6,785,457,000","5,881,331,000","4,644,316,000","6,404,667,000","9,988,692,000","9,826,433,000","9,462,351,000","8,539,270,000","7,666,154,000","7,380,671,000","7,086,010,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"3,628,896,000","3,973,206,000",0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"736,098,000","1,247,226,000","3,670,255,000","1,156,858,000","549,079,000","1,347,816,000","1,537,894,000","1,475,215,000","1,717,363,000","1,241,289,000","1,907,421,000","2,611,710,000"
Trades Payables,"736,098,000","1,247,226,000","3,670,175,000","1,156,858,000","549,079,000","1,347,816,000","1,537,894,000","1,475,215,000","1,717,363,000","1,241,289,000","1,907,421,000","2,611,710,000"
Total Current Liabilities,"4,442,078,000",0,"3,670,255,000","1,202,327,000","549,079,000","1,349,292,000","1,537,894,000","1,475,215,000","1,717,363,000","1,241,289,000","1,907,421,000","2,611,710,000"
Total Liabilities,"4,571,666,000","5,416,060,000","3,755,515,000","1,284,847,000","616,087,000","1,437,197,000","1,607,474,000","1,541,689,000","1,783,739,000","1,303,433,000","1,960,752,000","2,658,238,000"
Paid Up Capital,"289,821,000","289,821,000","289,821,000","289,821,000","289,821,000","289,821,000","214,682,000","214,682,000","214,682,000","214,682,000","214,682,000","214,682,000"
Reserves,"613,896,000","1,079,576,000","1,835,995,000","3,069,648,000","5,498,759,000","8,261,674,000","8,004,277,000","7,705,980,000","6,540,849,000","6,148,039,000","5,205,237,000","4,213,090,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"903,717,000","1,369,397,000","2,125,816,000","3,359,469,000","5,788,580,000","8,551,495,000","8,218,959,000","7,920,662,000","6,755,531,000","6,362,721,000","5,419,919,000","4,427,772,000"
Paid Up Value,10,5,5,5,5,5,5,5,5,5,5,5
Number of Shares,"28,982,100","57,964,200","57,964,200","57,964,201","57,964,201","57,964,201","42,936,445","42,936,445","42,936,445","42,936,445","42,936,445","42,936,445"
