Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"3,602,231","4,570,270","20,373,204","4,627,285","9,726,883","54,858,839","570,273,437","385,834,353","335,623,643","664,886,577"
Investments,"2,021,409,071","1,991,424,699","40,716,958","1,172,228,419","1,164,161,406","136,762,904","65,719,838","418,970,783","562,859,028","849,883,146"
Fixed Assets,"808,376,089","663,292,801","29,556,326,178","1,462,582,956","964,298,694","417,816,357","232,207,061","331,606,544","110,710,489","124,078,819"
Cash in Hand and Bank,"4,784,171","14,948,365","6,396,174","8,852,265","5,642,474","10,352,204","29,107,525","143,194,778","158,792,127","93,288,773"
Current Assets,"1,592,059,861","1,552,009,826","1,402,655,552","2,660,321,755","2,897,275,054","2,649,494,575","3,804,191,919","3,803,392,570","4,277,208,225","4,361,113,885"
Total Assets,"4,386,573,502","4,363,297,596","4,409,071,892","4,686,686,613","4,453,529,572","3,868,795,273","5,380,636,427","5,906,186,268","6,475,331,318","8,089,365,350"
Total Non Current Liabilities,"3,301,786,498","3,238,245,166","2,890,116,540","2,377,144,103","1,814,274,304","870,112,721","1,657,613,427","1,810,450,285","2,071,321,151","2,330,589,234"
Total Current Liabilities,"2,041,537,159","2,341,100,649","3,172,471,469","3,389,898,891","3,706,340,669","3,920,904,513","3,595,194,054","4,047,641,908","4,243,903,804","4,776,223,720"
Total Liabilities,"5,343,323,657","5,933,212,822","6,062,588,009","5,767,042,994","5,520,614,973","4,791,017,234","5,252,807,481","5,858,092,193","6,315,224,955","7,106,812,954"
Paid Up Capital,"1,383,982,139","892,028,729","822,028,729","892,028,729","892,028,729","892,028,729","892,028,729","892,028,729","585,528,730","585,528,729"
Reserves,"-2,340,732,294","-2,461,943,955","-2,494,056,346","-1,990,896,610","-1,977,625,630","-1,833,624,460","-791,875,914","-916,590,757","-204,798,436","510,079,888"
Preferred Equity,0,0,"8,075,000","206,125,000","306,500,000","306,500,000","306,500,000","306,500,000",0,0
Shareholder Equity,"-956,750,155","-1,569,915,226","-1,653,516,117","-1,080,356,381","-1,067,085,401","-922,221,961","127,828,946","48,094,075","160,106,363","982,552,395"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"138,398,213","89,202,872","74,127,873","68,590,373","58,552,873","58,552,873","58,552,873","58,552,873","58,552,873","58,552,873"
Surplus On Revaluation of Assets,0,0,"18,511,500","18,511,500","18,511,500","19,373,770","27,676,131","72,656,103","-220,623,931","-113,056,222"
